team_id,category_id,category_rank,team_total_time,team_total_seconds,team_name,team_avg_time,team_avg_seconds
94,5,32,9:02:53,32573,RGF Integrated Wealth Management,1:07:52,4072
95,5,34,9:25:34,33934,Thunderpants,1:10:42,4242
96,5,35,9:50:20,35420,NBT West,1:13:48,4428
97,5,36,10:11:38,36698,PHL CAPITAL CREW,1:16:28,4588
98,5,37,10:19:05,37145,Alpine Credits,1:17:24,4644
99,5,38,10:46:35,38795,Team Haywood,1:20:50,4850
100,5,39,10:59:12,39552,RER,1:22:24,4944
101,5,40,13:54:14,50054,EconoLease,1:44:17,6257
102,5,41,14:12:44,51164,GVCCU,1:46:36,6396
103,6,7,8:19:48,29988,iA Financial Group (Vancouver),1:02:29,3749
104,6,8,8:20:47,30047,NORTHBRIDGE/TOKIO MARINE,1:02:36,3756
105,6,9,8:24:33,30273,PBI Stride Squad,1:03:05,3785
106,6,10,8:58:16,32296,WYLIE COYOTES,1:07:17,4037
107,6,11,9:06:02,32762,Foursquare Financial Inc.,1:08:16,4096
108,6,12,9:46:44,35204,RUN FOR YOUR BENEFITS,1:13:21,4401
109,6,13,10:21:45,37305,WMB 2026,1:17:44,4664
110,6,14,11:37:53,41873,ACERA Insurance,1:27:15,5235
111,6,15,12:28:43,44923,Murrick Group,1:33:36,5616
112,6,16,13:24:14,48254,Ridge Planning Group Inc.,1:40:32,6032
113,7,25,8:01:53,28913,FELLOWSHIP MO PUSH ME RUN,1:00:15,3615
114,7,26,8:04:06,29046,Team Tarvinder,1:00:31,3631
115,7,27,8:06:13,29173,BIG BACKS,1:00:47,3647
116,7,28,8:10:20,29420,Chasing Brunch,1:01:18,3678
117,7,29,8:13:20,29600,Underpotential,1:01:40,3700
118,7,30,8:13:27,29607,Running Through My Head,1:01:41,3701
119,7,31,8:15:01,29701,Here for the Beer,1:01:53,3713
120,7,32,8:20:16,30016,FPL,1:02:32,3752
121,7,33,8:21:49,30109,Whistler Wild Peak Runners,1:02:44,3764
122,7,34,8:22:27,30147,Runny McRunnersons,1:02:49,3769
123,7,35,8:23:53,30233,North Delta Runners,1:03:00,3780
124,7,36,8:27:23,30443,Not Fast. Just Furious,1:03:26,3806
125,7,37,8:28:47,30527,Diamond Dogs,1:03:36,3816
126,7,38,8:33:35,30815,CHARDI KALA CREW,1:04:12,3852
127,7,39,8:35:16,30916,SNOWBOARD,1:04:25,3865
128,7,40,8:37:53,31073,Faith Hope Love,1:04:45,3885
129,7,41,8:43:10,31390,The Motion Artifacts,1:05:24,3924
130,7,42,8:44:18,31458,SPEEDY SINGHS,1:05:33,3933
131,7,43,8:49:01,31741,PHOTOCULTURE,1:06:08,3968
132,7,44,8:50:18,31818,There and (10 km) Back Again,1:06:18,3978
133,7,45,8:51:48,31908,Team Parkash,1:06:29,3989
134,7,46,8:53:18,31998,Mirror of Justice,1:06:40,4000
135,7,47,8:57:23,32243,RUN A'LA RUN,1:07:11,4031
136,7,48,8:57:33,32253,WORST PARADE EVER!,1:07:12,4032
137,7,49,8:58:43,32323,Route 66,1:07:21,4041
138,7,50,9:02:02,32522,PCE AND EGGS,1:07:46,4066
139,7,51,9:03:49,32629,Fai Di La,1:07:59,4079
140,7,52,9:05:06,32706,LIONS BAY RAINFOREST RACERS,1:08:09,4089
141,7,53,9:07:50,32870,FOUR-G,1:08:29,4109
142,7,54,9:09:50,32990,The Slow But Furious,1:08:44,4124
143,7,55,9:10:31,33031,10Kaye,1:08:49,4129
144,7,56,9:12:25,33145,Sweat Equity,1:09:04,4144
145,7,57,9:13:19,33199,Doray Power,1:09:10,4150
146,7,58,9:25:12,33912,Hiking Vikings,1:10:39,4239
147,7,59,9:32:06,34326,WinnCouver,1:11:31,4291
148,7,60,9:37:44,34664,The Unlikely,1:12:13,4333
149,7,61,9:42:06,34926,G.O.A.T,1:12:46,4366
150,7,62,9:49:03,35343,Run Now. Coffee Later,1:13:38,4418
151,7,63,9:49:21,35361,2 SLOW 2 SERIOUS,1:13:41,4421
152,7,64,9:53:36,35616,Luna's Family,1:14:12,4452
153,7,65,10:02:59,36179,kvit.ca,1:15:23,4523
154,7,66,10:07:34,36454,New Jeans. Old Knees,1:15:57,4557
155,7,67,10:10:27,36627,The Slow & The Serious,1:16:19,4579
156,7,68,10:12:24,36744,Run Mama Run,1:16:33,4593
157,7,69,10:17:58,37078,Family Circus 2026,1:17:15,4635
158,7,70,10:26:45,37605,Jatts on Track,1:18:21,4701
159,7,71,10:30:24,37824,Sam's Crew,1:18:48,4728
160,7,72,10:31:47,37907,Fenson's Fast Friends,1:18:59,4739
161,7,73,10:40:22,38422,Sole Sisters and Misters,1:20:03,4803
162,7,74,10:48:45,38925,Bob's Mob,1:21:06,4866
163,7,75,10:51:45,39105,Go-Diego-Go!,1:21:29,4889
164,7,76,10:57:02,39422,ZUMBA ROCKSTARS,1:22:08,4928
165,7,77,11:00:23,39623,Minto,1:22:33,4953
166,7,78,11:09:56,40196,#teaminc1914,1:23:45,5025
167,7,79,11:12:56,40376,Eyes on the Thighs,1:24:07,5047
168,7,80,11:27:23,41243,Powerful Man Squad,1:25:56,5156
169,7,81,11:59:44,43184,Are We Done Yet?!,1:29:58,5398
170,7,82,12:18:28,44308,CHEESE FOAM,1:32:19,5539
171,7,83,12:30:53,45053,Ohana,1:33:52,5632
172,7,84,12:58:55,46735,Run Now Brunch Later,1:37:22,5842
173,7,85,13:01:49,46909,BURJ DUNNA,1:37:44,5864
174,7,86,13:12:24,47544,Connie's RUNNING LATE,1:39:03,5943
175,7,87,13:50:38,49838,E & R,1:43:50,6230
176,7,88,14:16:35,51395,Brians Gazzilles,1:47:05,6425
177,7,89,14:59:07,53947,Truck n Sugar,1:52:24,6744
178,7,90,15:21:28,55288,Beerly Moving,1:55:11,6911
179,7,91,15:40:32,56432,WnD Unstoppable,1:57:34,7054
180,7,92,15:42:16,56536,On our Clark's. Get Set. Go!,1:57:47,7067
181,7,93,16:10:22,58222,Walkamolies,2:01:18,7278
182,7,94,16:24:40,59080,TEAM CACHETES,2:03:05,7385
183,7,95,18:49:10,67750,Team Farrell,2:21:09,8469
184,7,96,23:11:31,83491,Sahil & Associates,2:53:57,10437
185,8,12,8:12:55,29575,BREKA,1:01:37,3697
186,8,13,8:18:28,29908,Tap & Barrel Group,1:02:19,3739
187,8,14,8:19:02,29942,Sanctuary Cafe,1:02:23,3743
188,8,15,8:27:30,30450,The Lunch Lady,1:03:27,3807
189,8,16,8:38:03,31083,BOSTON PIZZA INTERNATIONAL,1:04:46,3886
190,8,17,8:44:46,31486,Prado Coffee,1:05:36,3936
191,8,18,8:45:32,31532,VIVREAU HYDRATION HEROS,1:05:42,3942
192,8,19,9:05:46,32746,The Hydrators,1:08:14,4094
193,8,20,9:38:42,34722,Olivieri,1:12:21,4341
194,8,21,9:48:56,35336,YOLKS,1:13:37,4417
195,8,22,9:57:42,35862,Donut Stop Believin',1:14:43,4483
196,8,23,16:04:34,57874,Hummingbird and Bean Cafe,2:00:35,7235
197,9,12,8:17:53,29873,Team Delta,1:02:15,3735
198,9,13,10:58:23,39503,Westbank First Nation,1:22:18,4938
199,9,14,11:51:31,42691,TFN Wave Runners,1:28:57,5337
200,9,15,12:21:49,44509,The Lonsdale Lane,1:32:44,5564
201,10,18,8:02:37,28957,12 FLD AMB,1:00:20,3620
202,10,19,8:23:31,30211,BC Securities Commission,1:02:57,3777
203,10,20,9:07:32,32852,Public Guardian and Trustee,1:08:27,4107
